kdo,268,270,278,279,280,285,288,292,295,296,300,301,303,304,305,307,308,309,311,317,320,322,323,325,335,336,342,343,344,348,349,353,354,355,356,357,358,363,364
Oraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ota,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Otewec,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Otezlau,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Otrad fil Otradi,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,?,,,,,,,,
Otto de Woirzan,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
Otto fr. Wissa et Marq,,,,,,,,,,,,,,,,,,,,,,kaplan,,,,,,1,,,,,,,,,,,
Pabian,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pauolo fratri Slaueborii,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelegrin fr. Riunus,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petr,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Petr fr. Sdeslaus,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrus,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Petrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Petrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Petrus de Carde,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrus fil. Milgozi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Petrus fil. Obiden,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrus,,sudí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrus mil. Clusene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Petrus,,,dřevíčský kastelán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilunk,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocin,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Pomnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Pomnenus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,
Pozden,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preda,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Predbor fr. Oldrih,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,
Predota,,,,,,,,,,,,,,,,1,,,,1,,dvorský sudí,dvorský sudí,,,,,,1,,,,,,,,,,
Predvor,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,?,
Pribizlau,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Protiwafil Conradi,,,,,,,,podkonní,,podkonní,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Prybyslau,,,,,,,,1,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
